last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	fnames	originalFormat	pdf	rel_paths	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	transcriber	typesetter
53	53	1: 3, 27: -4, 37: 3	1: 5/4, 3: 3/4, 24: 5/4, 29: 3/4, 30: 5/4, 31: 3/4, 44: 5/4, 46: 3/4, 49: 5/4, 50: 3/4	0										2022-01-26	3.02	Linux	https://musescore.com/nicolas/scores/86980		3.6.2	21-99 (A0-D#7)	1910	1910	l117-04_preludes_sons			MS3	32-99 (Ab1-D#7)	Part_1	21-75 (A0-D#5)	Part_1				https://musescore.com/nicolas
96	96	1: 5	1: 12/16, 2: 2/4, 3: 12/16, 4: 2/4, 5: 12/16, 7: 2/4, 10: 12/16, 17: 6/16, 18: 12/16, 39: 2/4, 49: 6/8, 66: 12/16, 70: 6/16, 71: 12/16, 81: 2/4	0	Claude Debussy	Les collines d'Anacapri								2020-03-14	3.02	Apple Macintosh	http://musescore.com/user/23335511/scores/6078729		3.6.2	28-95 (E1-B6)	1909	1909	l117-05_preludes_collines			MS3	49-95 (C#3-B6)	Piano	28-85 (E1-C#6)	Piano				https://musescore.com/user/23335511
36	36	1: -1	1: 4/4, 13: 2/4, 14: 4/4	0										2022-01-26		Linux	https://musescore.com/nicolas/scores/86941		3.6.2	26-89 (D1-F6)	1909	1909	l117-06_preludes_pas	mxl		MS3	52-89 (E3-F6)	Piano	26-80 (D1-Ab5)	Piano				https://musescore.com/nicolas
77	70	1: 3, 26: 0, 38: 3	1: 4/4, 38: 3/4, 48: 4/4, 75: 3/4, 76: 4/4	0										2021-08-28		Microsoft Windows	http://musescore.com/user/36526887/scores/7013623		3.6.2	23-99 (B0-D#7)	1909	1909	l117-07_preludes_ce			MS3	36-99 (C2-D#7)	Piano	23-92 (B0-G#6)	Piano				https://musescore.com/user/36526887
39	39	1: -6	1: 3/4	0										2019-02-16	3.02	Microsoft Windows	https://musescore.com/r_d/scores/5449385		3.6.2	30-90 (Gb1-Gb6)	1910	1910	l117-08_preludes_fille			MS3	51-90 (Eb3-Gb6)	Piano	30-73 (Gb1-Db5)	Piano				https://musescore.com/r_d
137	137	1: -5, 46: 0, 50: -5, 80: 2, 85: -5, 87: 2, 90: -5	1: 3/8, 80: 2/4, 85: 3/8, 87: 2/4, 90: 3/8	0	Claude Debussy	La Serenade Interrompue								2020-04-12	3.02	Apple Macintosh	http://musescore.com/user/23335511/scores/6084245		3.6.2	34-84 (Bb1-C6)	1909	1909	l117-09_preludes_serenade			MS3	37-84 (Db2-C6)	Piano	34-67 (Bb1-G4)	Piano				https://musescore.com/user/23335511
89	89	1: 0, 47: 4	1: 3/2	0	Claude Debussy	La Cathédrale engloutie								2021-10-15		Linux	http://musescore.com/user/38837413/scores/7079966		3.6.2	23-95 (B0-B6)	1909	1909	l117-10_preludes_cathedrale			MS3	36-95 (C2-B6)	Piano	23-76 (B0-E5)	Piano				http://musescore.com/user/38837413
89	89	1: 1	1: 2/4	0	Claude Debussy (1862-1918)	Prelude								2020-04-23	3.02	Microsoft Windows	http://musescore.com/user/6053266/scores/6106422		3.6.2	24-86 (C1-D6)	1910	1910	l117-12_preludes_minstrels			MS3	35-86 (B1-D6)	Grand Piano	24-68 (C1-Ab4)	Grand Piano				https://musescore.com/derek_john_benton
148	148	1: -6, 76: 3, 104: -6	1: 3/4	0	Claude Debussy	La plus que lente								2019-07-28	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5663924		3.6.2	27-94 (Eb1-Bb6)	1910	1910	l121_plus			MS3	53-94 (F3-Bb6)	Piano	27-84 (Eb1-C6)	Piano				http://musescore.com/user/4887176
68	68	1: -6, 38: 0, 49: -6	1: 2/2	0	Claude Debussy	Claude Debussy Berceuse Héroïque								2020-05-24	3.02	Apple Macintosh	https://musescore.com/user/4887176/scores/6174172		3.6.2	26-84 (D1-C6)	1914	1914	l132_berceuse			MS3	46-82 (Bb2-Bb5)	Grand Piano	38-84 (D2-C6)	Grand Piano	26-68 (D1-Ab4)	Grand Piano		https://musescore.com/user/4887176
38	38	1: -1	1: 3/4	0	Claude Debussy	Page d'album					(1862-1918)			2021-07-07		Microsoft Windows	http://musescore.com/user/39300366/scores/6864283		3.6.2	29-89 (F1-F6)	1915	1915	l133_page			MS3	53-89 (F3-F6)	Piano	29-77 (F1-F5)	Piano				https://musescore.com/user/39300366
116	116	1: 0, 48: -7, 56: 0, 75: -4, 90: 0, 111: -5, 113: 0	1: 4/4, 21: 3/8, 27: 12/16, 97: 2/4	0	C. DEBUSSY	Étude no.1: pour les cinq doigts								2021-08-13		Microsoft Windows	http://musescore.com/user/36526887/scores/6959034		3.6.2	24-95 (C1-B6)	1915	1915	l136-01_etudes_cinq			MS3	31-95 (G1-B6)	Piano	24-84 (C1-C6)	Piano				https://musescore.com/user/36526887
21	21	1: -1	1: 4/4, 11: 3/4, 12: 4/4	0	Claude Debussy	Elégie								2020-05-26	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6173997		3.6.2	33-74 (A1-D5)	1915	1915	l138_elegie			MS3	50-74 (D3-D5)	Grand Piano	33-60 (A1-C4)	Grand Piano				https://musescore.com/user/4887176
