slice	0	1	2	3	4	5	6	7	8	9	10	11
[260.0, 261.0)		0.25			0.25			0.25				0.25
[261.0, 262.0)					0.5			0.25				0.25
[262.0, 263.0)				0.25			0.5					0.25
[263.0, 264.0)				0.25			0.25					0.5
[264.0, 265.0)		0.25			0.25			0.25				0.25
[265.0, 266.0)					0.5001250312578145			0.08327081770442611		0.16654163540885222		0.25006251562890724
[266.0, 267.0)				0.25			0.5					0.25
[267.0, 268.0)							0.5					0.5
[268.0, 269.0)		0.25			0.25			0.25				0.25
[269.0, 270.0)					0.33333333333333337		0.16654163540885222	0.25006251562890724				0.25006251562890724
[270.0, 271.0)				0.25			0.5					0.25
[271.0, 272.0)				0.25			0.25					0.5
[272.0, 273.0)			0.2000400080016003			0.4000800160032006		0.1998399679935987				0.2000400080016003
[273.0, 274.0)					0.2000400080016003	0.4000800160032006		0.1998399679935987				0.2000400080016003
[274.0, 275.0)	0.4000800160032006				0.4000800160032006			0.1998399679935987				
[275.0, 276.0)	0.2000400080016003				0.4000800160032006			0.1998399679935987		0.2000400080016003		
[276.0, 277.0)			0.2000400080016003			0.4000800160032006		0.1998399679935987				0.2000400080016003
[277.0, 278.0)			0.0666266506602641		0.1332533013205282	0.4001600640256102		0.19987995198079234				0.2000800320128051
[278.0, 279.0)	0.4000800160032006				0.4000800160032006			0.1998399679935987				
[279.0, 280.0)	0.2000400080016003				0.4000800160032006			0.1998399679935987		0.2000400080016003		
[280.0, 281.0)			0.25006251562890724			0.16654163540885222		0.3333333333333333		0.25006251562890724		
[281.0, 282.0)					0.25006251562890724	0.08327081770442611		0.41660415103775944				0.25006251562890724
[282.0, 283.0)	0.5001250312578145				0.16654163540885222			0.3333333333333333				
[283.0, 284.0)	0.25006251562890724				0.08327081770442611			0.41660415103775944		0.25006251562890724		
[284.0, 285.0)			0.25006251562890724			0.16654163540885222		0.3333333333333333		0.25006251562890724		
[285.0, 286.0)			0.08329164582291146		0.16658329164582292	0.08329164582291146		0.4167083541770885		0.2501250625312656		
[286.0, 287.0)	0.33333333333333337				0.08327081770442611			0.33333333333333337			0.25006251562890724	
[287.0, 288.0)	0.33333333333333337							0.33333333333333337			0.33333333333333337	
[288.0, 289.0)			0.25006251562890724			0.16654163540885222		0.3333333333333333		0.25006251562890724		
[289.0, 290.0)			0.08329164582291146		0.16658329164582292	0.08329164582291146		0.4167083541770885				0.2501250625312656
[290.0, 291.0)	0.5555185061687229							0.11103701233744584			0.3334444814938313	
[291.0, 292.0)	0.3334444814938313				0.11103701233744584			0.11103701233744584			0.4444814938312771	
[292.0, 293.0)	0.3333333333333333				0.3333333333333333			0.3333333333333333				
[293.0, 294.0)	0.3333333333333333				0.3333333333333333						0.3333333333333333	
[294.0, 295.0)	0.3333333333333333				0.3333333333333333			0.3333333333333333				
[295.0, 296.0)					0.3333333333333333			0.3333333333333333			0.3333333333333333	
[296.0, 297.0)	0.5										0.5	
[297.0, 298.0)					0.5			0.5				
[298.0, 299.0)	0.5											0.5
[299.0, 300.0)	0.25							0.5			0.25	
[300.0, 301.0)			0.25					0.75				
[301.0, 302.0)			0.75					0.25				
[302.0, 303.0)	0.25		0.5								0.25	
[303.0, 304.0)	0.25		0.5								0.25	
[304.0, 305.0)			0.5		0.16666666666666666	0.16666666666666666		0.16666666666666666				
[305.0, 306.0)			0.25					0.75				
[306.0, 307.0)	0.25		0.25		0.25						0.25	
[307.0, 308.0)	0.4165				0.3335						0.25	
[308.0, 309.0)	0.16691654172913542		0.24987506246876556		0.3333333333333333			0.24987506246876556				
[309.0, 310.0)			0.75					0.25				
[310.0, 311.0)	0.25		0.5								0.25	
[311.0, 312.0)	0.25		0.5								0.25	
[312.0, 313.0)			0.75					0.25				
[313.0, 314.0)			0.25					0.25			0.5	
[314.0, 315.0)	0.25		0.5								0.25	
[315.0, 316.0)					0.5					0.25	0.25	
[316.0, 317.0)	0.25					0.75						
[317.0, 318.0)	0.75					0.25						
[318.0, 319.0)	0.5									0.25	0.25	
[319.0, 320.0)	0.5							0.25		0.25		
[320.0, 321.0)	0.5				0.25						0.25	
[321.0, 322.0)					0.25			0.5			0.25	
[322.0, 323.0)								0.75		0.25		
[323.0, 324.0)	0.16666666666666666					0.5				0.3333333333333333		
[324.0, 325.0)	0.25					0.375				0.375		
[325.0, 326.0)	0.25		0.125			0.25				0.375		
[326.0, 327.0)	0.375		0.125			0.25				0.25		
[327.0, 328.0)	0.16666666666666666					0.5				0.3333333333333333		
[328.0, 329.0)	0.25					0.375				0.375		
[329.0, 330.0)	0.25		0.125			0.25				0.375		
[330.0, 331.0)	0.375					0.375				0.25		
[331.0, 332.0)			0.25							0.75		
[332.0, 333.0)			0.25			0.25				0.5		
[333.0, 334.0)	0.25				0.5					0.25		
[334.0, 335.0)	0.25				0.75							
[335.0, 336.0)					0.5	0.25				0.25		
[336.0, 337.0)	0.5				0.25					0.25		
[337.0, 338.0)			0.75					0.25				
[338.0, 339.0)								0.5			0.5	
[339.0, 340.0)			0.25							0.75		
[340.0, 341.0)			0.25			0.25				0.5		
[341.0, 342.0)	0.25				0.5					0.25		
[342.0, 343.0)	0.25				0.75							
[343.0, 344.0)					0.5	0.25				0.25		
[344.0, 345.0)	0.5				0.25					0.25		
[345.0, 346.0)			0.75					0.25				
[346.0, 347.0)								0.5			0.5	
[347.0, 348.0)				0.25				0.5			0.25	
[348.0, 349.0)				0.25				0.75				
[349.0, 350.0)			0.5	0.25							0.25	
[350.0, 351.0)			0.5	0.25				0.25				
[351.0, 352.0)			0.5					0.25			0.25	
[352.0, 353.0)			0.25	0.25							0.5	
[353.0, 354.0)	0.75			0.25								
[354.0, 355.0)						0.5				0.5		
[355.0, 356.0)				0.25				0.5			0.25	
[356.0, 357.0)				0.25				0.75				
[357.0, 358.0)			0.5	0.25							0.25	
[358.0, 359.0)			0.5	0.25				0.25				
[359.0, 360.0)			0.5					0.25			0.25	
[360.0, 361.0)			0.25	0.25							0.5	
[361.0, 362.0)	0.5			0.125				0.25		0.125		
[362.0, 363.0)	0.25		0.375				0.25			0.125		
[363.0, 364.0)			0.25					0.5			0.25	
[364.0, 365.0)		0.25			0.25			0.25		0.25		
[365.0, 366.0)		0.25			0.25			0.25		0.25		
[366.0, 367.0)			0.25					0.5			0.25	
[367.0, 368.0)			0.25					0.5			0.25	
[368.0, 369.0)		0.25			0.25			0.25		0.25		
[369.0, 370.0)		0.25			0.25			0.25		0.25		
[370.0, 371.0)		0.25			0.25			0.25		0.25		
[371.0, 372.0)			0.25					0.5			0.25	
[372.0, 373.0)		0.25			0.25			0.25		0.25		
[373.0, 374.0)		0.25			0.25			0.25		0.25		
[374.0, 375.0)			0.3333333333333333					0.5001250312578145			0.16654163540885222	
[375.0, 376.0)		0.25			0.25					0.5		
[376.0, 377.0)		0.25			0.25			0.25		0.25		
[377.0, 378.0)			0.5			0.25				0.25		
[378.0, 379.0)			0.4			0.2				0.4		
[379.0, 380.0)			0.3333333333333333					0.3333333333333333			0.3333333333333333	
[380.0, 381.0)		0.3333333333333333			0.3333333333333333					0.3333333333333333		
[381.0, 382.0)		0.3333333333333333			0.3333333333333333					0.3333333333333333		
[382.0, 383.0)			0.3333333333333333					0.3333333333333333			0.3333333333333333	
[383.0, 384.0)			0.25					0.5			0.25	
[384.0, 385.0)		0.25			0.25			0.25		0.25		
[385.0, 386.0)		0.25			0.25			0.25		0.25		
[386.0, 387.0)		0.25			0.25	0.25				0.25		
[387.0, 388.0)			0.25		0.25			0.25			0.25	
[388.0, 389.0)		0.25			0.5					0.25		
[389.0, 390.0)		0.25			0.5					0.25		
[390.0, 391.0)			0.5833958489622406					0.25006251562890724			0.16654163540885222	
[391.0, 392.0)	0.25				0.25					0.25	0.25	
[392.0, 393.0)	0.25				0.25					0.25	0.25	
[393.0, 394.0)	0.25				0.25			0.25			0.25	
[394.0, 395.0)	0.25				0.25			0.25			0.25	
[395.0, 396.0)						0.5				0.5		
[396.0, 397.0)	0.125					0.375				0.5		
[397.0, 398.0)	0.125					0.25				0.625		
[398.0, 399.0)	0.125					0.375				0.5		
[399.0, 400.0)	0.25					0.25				0.5		
[400.0, 401.0)	0.25					0.25				0.5		
[401.0, 402.0)	0.25					0.25				0.5		
[402.0, 403.0)	0.25					0.25				0.5		
