quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
98	2.0	25	25	1/2	1/2	4/4	1	1	1/2	1/2	1	1	5	71		285
197/2	0.5	25	25	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		292
99	0.5	25	25	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		293
199/2	0.5	25	25	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		294
100	0.5	26	26	0	0	4/4	2	1	1/8	1/8	1		4	40		302
100	2.0	26	26	0	0	4/4	1	3	1/2	1/2	1	-1	2	62		299
100	4.0	26	26	0	0	4/4	1	2	1	1	1		1	67		298
100	1.0	26	26	0	0	4/4	1	1	1/4	1/4	1	-1	5	71		295
201/2	0.5	26	26	1/8	1/8	4/4	2	1	1/8	1/8	1		5	47		303
101	0.5	26	26	1/4	1/4	4/4	2	1	1/8	1/8	1		4	52		304
101	1.0	26	26	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		296
203/2	0.5	26	26	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55		305
102	0.5	26	26	1/2	1/2	4/4	2	1	1/8	1/8	1		4	40		306
102	1.0	26	26	1/2	1/2	4/4	1	3	1/4	1/4	1		2	62		300
102	2.0	26	26	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69		297
205/2	0.5	26	26	5/8	5/8	4/4	2	1	1/8	1/8	1		3	45		307
103	0.5	26	26	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55		308
103	1.0	26	26	3/4	3/4	4/4	1	3	1/4	1/4	1		5	59		301
207/2	0.5	26	26	7/8	7/8	4/4	2	1	1/8	1/8	1		3	45		309
104	0.5	27	27	0	0	4/4	2	1	1/8	1/8	1		6	42		317
104	0.6666666666666666	27	27	0	0	4/4	1	2	1/6	1/4	2/3		7	61		311
104	4.0	27	27	0	0	4/4	1	1	1	1	1		6	66		310
104	4.0	27	27	0	0	4/4	1	1	1	1	1	1	3	69		310
209/2	0.5	27	27	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		318
314/3	0.6666666666666666	27	27	1/6	1/6	4/4	1	2	1/6	1/4	2/3		2	62		312
105	0.5	27	27	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		319
316/3	0.6666666666666666	27	27	1/3	1/3	4/4	1	2	1/6	1/4	2/3		5	59		313
211/2	0.5	27	27	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		320
106	0.5	27	27	1/2	1/2	4/4	2	1	1/8	1/8	1		4	40		321
106	0.6666666666666666	27	27	1/2	1/2	4/4	1	2	1/6	1/4	2/3		7	61		314
213/2	0.5	27	27	5/8	5/8	4/4	2	1	1/8	1/8	1		3	45		322
320/3	0.6666666666666666	27	27	2/3	2/3	4/4	1	2	1/6	1/4	2/3		2	62		315
107	0.5	27	27	3/4	3/4	4/4	2	1	1/8	1/8	1		6	54		323
322/3	0.6666666666666666	27	27	5/6	5/6	4/4	1	2	1/6	1/4	2/3		4	64		316
215/2	0.5	27	27	7/8	7/8	4/4	2	1	1/8	1/8	1		3	45		324
108	0.5	28	28	0	0	4/4	2	1	1/8	1/8	1		2	38		332
108	0.6666666666666666	28	28	0	0	4/4	1	2	1/6	1/4	2/3		6	66		326
108	1.0	28	28	0	0	4/4	1	1	1/4	1/4	1	-1	3	69		325
217/2	0.5	28	28	1/8	1/8	4/4	2	1	1/8	1/8	1		3	45		333
326/3	0.6666666666666666	28	28	1/6	1/6	4/4	1	2	1/6	1/4	2/3		8	68		327
109	0.5	28	28	1/4	1/4	4/4	2	1	1/8	1/8	1		2	50		334
328/3	0.6666666666666666	28	28	1/3	1/3	4/4	1	2	1/6	1/4	2/3		4	64		328
219/2	0.5	28	28	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		335
110	0.5	28	28	1/2	1/2	4/4	2	1	1/8	1/8	1		3	45		336
110	0.6666666666666666	28	28	1/2	1/2	4/4	1	2	1/6	1/4	2/3		6	66		329
221/2	0.5	28	28	5/8	5/8	4/4	2	1	1/8	1/8	1		2	50		337
332/3	0.6666666666666666	28	28	2/3	2/3	4/4	1	2	1/6	1/4	2/3		8	68		330
111	0.5	28	28	3/4	3/4	4/4	2	1	1/8	1/8	1		6	54		338
334/3	0.6666666666666666	28	28	5/6	5/6	4/4	1	2	1/6	1/4	2/3		3	69		331
223/2	0.5	28	28	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57		339
112	0.5	29	29	0	0	4/4	2	1	1/8	1/8	1		2	50		346
112	0.6666666666666666	29	29	0	0	4/4	1	1	1/6	1/4	2/3		5	71		340
225/2	0.5	29	29	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57		347
338/3	0.6666666666666666	29	29	1/6	1/6	4/4	1	1	1/6	1/4	2/3		7	73		341
113	0.5	29	29	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62		348
340/3	0.6666666666666666	29	29	1/3	1/3	4/4	1	1	1/6	1/4	2/3		3	69		342
227/2	0.5	29	29	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66		349
114	0.5	29	29	1/2	1/2	4/4	2	1	1/8	1/8	1		7	49		350
114	0.6666666666666666	29	29	1/2	1/2	4/4	1	1	1/6	1/4	2/3		5	71		343
229/2	0.5	29	29	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		351
344/3	0.6666666666666666	29	29	2/3	2/3	4/4	1	1	1/6	1/4	2/3		7	73		344
115	0.5	29	29	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57		352
346/3	0.6666666666666666	29	29	5/6	5/6	4/4	1	1	1/6	1/4	2/3		2	74		345
231/2	0.5	29	29	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62		353
116	0.5	30	30	0	0	4/4	2	1	1/8	1/8	1		5	47		359
116	1.0	30	30	0	0	4/4	1	1	1/4	1/4	1		6	66		354
116	2.0	30	30	0	0	4/4	1	2	1/2	1/2	1		2	74		357
116	1.0	30	30	0	0	4/4	1	1	1/4	1/4	1		6	78		354
233/2	0.5	30	30	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		360
117	0.5	30	30	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59		361
117	1.0	30	30	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		355
117	1.0	30	30	1/4	1/4	4/4	1	1	1/4	1/4	1		7	85		355
235/2	0.5	30	30	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62		362
118	0.5	30	30	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		363
118	2.0	30	30	1/2	1/2	4/4	1	2	1/2	1/2	1	1	5	71		358
118	2.0	30	30	1/2	1/2	4/4	1	1	1/2	1/2	1		11	77		356
118	2.0	30	30	1/2	1/2	4/4	1	1	1/2	1/2	1		5	83		356
237/2	0.5	30	30	5/8	5/8	4/4	2	1	1/8	1/8	1		11	53		364
119	0.5	30	30	3/4	3/4	4/4	2	1	1/8	1/8	1		8	56		365
239/2	0.5	30	30	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62		366
120	0.5	31	31	0	0	4/4	2	1	1/8	1/8	1		5	47		373
120	1.0	31	31	0	0	4/4	1	1	1/4	1/4	1	-1	5	71		367
120	1.0	31	31	0	0	4/4	1	1	1/4	1/4	1		6	78		367
241/2	0.5	31	31	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		374
121	0.5	31	31	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59		375
121	0.5	31	31	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		368
243/2	0.5	31	31	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62		376
243/2	0.5	31	31	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68		369
122	0.5	31	31	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		377
122	1.0	31	31	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		370
245/2	0.5	31	31	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		378
123	0.5	31	31	3/4	3/4	4/4	2	1	1/8	1/8	1		8	56		379
123	0.5	31	31	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64		371
247/2	0.5	31	31	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		380
247/2	0.5	31	31	7/8	7/8	4/4	1	1	1/8	1/8	1		2	62		372
124	0.5	32	32	0	0	4/4	2	1	1/8	1/8	1		3	45		386
124	1.0	32	32	0	0	4/4	1	1	1/4	1/4	1		7	61		381
249/2	0.5	32	32	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		387
125	0.5	32	32	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		388
125	0.5	32	32	1/4	1/4	4/4	1	1	1/8	1/8	1		2	62		382
251/2	0.5	32	32	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		389
251/2	0.5	32	32	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64		383
126	0.5	32	32	1/2	1/2	4/4	2	1	1/8	1/8	1		6	42		390
126	1.0	32	32	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		384
253/2	0.5	32	32	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49		391
127	0.5	32	32	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57		392
127	1.0	32	32	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		385
255/2	0.5	32	32	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		393
128	0.5	33	33	0	0	4/4	2	1	1/8	1/8	1		12	48		395
128	4.0	33	33	0	0	4/4	1	1	1	1	1	1	6	66		394
128	4.0	33	33	0	0	4/4	1	1	1	1	1	1	8	68		394
257/2	0.5	33	33	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		396
129	0.5	33	33	1/4	1/4	4/4	2	1	1/8	1/8	1		9	63		397
259/2	0.5	33	33	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		398
130	0.5	33	33	1/2	1/2	4/4	2	1	1/8	1/8	1		7	49		399
261/2	0.5	33	33	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		400
131	0.5	33	33	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64		401
263/2	0.5	33	33	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		402
132	0.5	34	34	0	0	4/4	2	1	1/8	1/8	1		9	51		409
132	4.0	34	34	0	0	4/4	1	2	1	1	1	0	6	66		408
132	0.5	34	34	0	0	4/4	1	1	1/8	1/8	1	-1	8	68		403
265/2	0.5	34	34	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		410
265/2	0.5	34	34	1/8	1/8	4/4	1	1	1/8	1/8	1		6	66		404
133	0.5	34	34	1/4	1/4	4/4	2	1	1/8	1/8	1		12	60		411
133	0.5	34	34	1/4	1/4	4/4	1	1	1/8	1/8	1		8	68		405
267/2	0.5	34	34	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		412
267/2	0.5	34	34	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69		406
134	0.5	34	34	1/2	1/2	4/4	2	1	1/8	1/8	1		4	52		413
134	2.0	34	34	1/2	1/2	4/4	1	1	1/2	1/2	1	1	5	71		407
269/2	0.5	34	34	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		414
135	0.5	34	34	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		415
271/2	0.5	34	34	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		416
136	0.5	35	35	0	0	4/4	2	1	1/8	1/8	1		9	51		423
136	4.0	35	35	0	0	4/4	1	2	1	1	1	-1	6	66		422
136	0.5	35	35	0	0	4/4	1	1	1/8	1/8	1	-1	5	71		417
273/2	0.5	35	35	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		424
273/2	0.5	35	35	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69		418
137	0.5	35	35	1/4	1/4	4/4	2	1	1/8	1/8	1		12	60		425
137	0.5	35	35	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71		419
275/2	0.5	35	35	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		426
275/2	0.5	35	35	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69		420
138	0.5	35	35	1/2	1/2	4/4	2	1	1/8	1/8	1		8	44		427
138	2.0	35	35	1/2	1/2	4/4	1	1	1/2	1/2	1	1	8	68		421
277/2	0.5	35	35	5/8	5/8	4/4	2	1	1/8	1/8	1		9	51		428
139	0.5	35	35	3/4	3/4	4/4	2	1	1/8	1/8	1		12	60		429
279/2	0.5	35	35	7/8	7/8	4/4	2	1	1/8	1/8	1		9	51		430
140	0.5	36	36	0	0	4/4	2	1	1/8	1/8	1		8	44		436
140	0.5	36	36	0	0	4/4	1	1	1/8	1/8	1	-1	8	68		431
281/2	0.5	36	36	1/8	1/8	4/4	2	1	1/8	1/8	1		2	50		437
281/2	0.5	36	36	1/8	1/8	4/4	1	1	1/8	1/8	1		6	66		432
141	0.5	36	36	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59		438
141	0.5	36	36	1/4	1/4	4/4	1	1	1/8	1/8	1		4	64		433
283/2	0.5	36	36	3/8	3/8	4/4	2	1	1/8	1/8	1		2	50		439
283/2	0.5	36	36	3/8	3/8	4/4	1	1	1/8	1/8	1		2	62		434
142	0.5	36	36	1/2	1/2	4/4	2	1	1/8	1/8	1		4	40		440
142	2.0	36	36	1/2	1/2	4/4	1	1	1/2	1/2	1	1	7	61		435
285/2	0.5	36	36	5/8	5/8	4/4	2	1	1/8	1/8	1		2	50		441
143	0.5	36	36	3/4	3/4	4/4	2	1	1/8	1/8	1		4	52		442
287/2	0.5	36	36	7/8	7/8	4/4	2	1	1/8	1/8	1		8	56		443
144	0.5	37	37	0	0	4/4	2	1	1/8	1/8	1		7	61		445
144	4.0	37	37	0	0	4/4	1	1	1	1	1	-1	7	61		444
289/2	0.5	37	37	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		446
145	0.5	37	37	1/4	1/4	4/4	2	1	1/8	1/8	1		2	50		447
291/2	0.5	37	37	3/8	3/8	4/4	2	1	1/8	1/8	1		4	40		448
146	0.5	37	37	1/2	1/2	4/4	2	1	1/8	1/8	1		7	37		449
293/2	0.5	37	37	5/8	5/8	4/4	2	1	1/8	1/8	1		8	44		450
147	0.5	37	37	3/4	3/4	4/4	2	1	1/8	1/8	1		11	53		451
295/2	0.5	37	37	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59		452
148	0.5	38	38	0	0	4/4	1	1	1/8	1/8	1		7	61		453
297/2	0.5	38	38	1/8	1/8	4/4	1	1	1/8	1/8	1		5	59		454
149	0.5	38	38	1/4	1/4	4/4	2	1	1/8	1/8	1		11	53		457
299/2	0.5	38	38	3/8	3/8	4/4	2	1	1/8	1/8	1		8	44		458
150	0.5	38	38	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73		455
301/2	0.5	38	38	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71		456
151	0.5	38	38	3/4	3/4	4/4	2	1	1/8	1/8	1		11	65		459
303/2	0.5	38	38	7/8	7/8	4/4	2	1	1/8	1/8	1		8	56		460
152	1.0	39	39	0	0	4/4	1	1	1/4	1/4	1		6	78		461
305/2	0.5	39	39	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		465
153	0.5	39	39	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		466
153	1.0	39	39	1/4	1/4	4/4	1	1	1/4	1/4	1		7	85		462
307/2	0.5	39	39	3/8	3/8	4/4	2	1	1/8	1/8	1		3	69		467
154	2.0	39	39	1/2	1/2	4/4	1	2	1/2	1/2	1		6	78		464
154	2.0	39	39	1/2	1/2	4/4	1	2	1/2	1/2	1		3	81		464
154	2.0	39	39	1/2	1/2	4/4	1	1	1/2	1/2	1		12	84		463
309/2	0.5	39	39	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		468
155	0.5	39	39	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		469
155	0.5	39	39	3/4	3/4	4/4	2	1	1/8	1/8	1		6	66		469
311/2	0.5	39	39	7/8	7/8	4/4	2	1	1/8	1/8	1		0	72		470
156	1.0	40	40	0	0	4/4	1	1	1/4	1/4	1		7	85		471
313/2	0.5	40	40	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61		478
157	0.5	40	40	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66		479
157	1.0	40	40	1/4	1/4	4/4	1	2	1/4	1/4	1		6	78		476
157	1.0	40	40	1/4	1/4	4/4	1	2	1/4	1/4	1		3	81		476
157	1.0	40	40	1/4	1/4	4/4	1	1	1/4	1/4	1		4	88		472
315/2	0.5	40	40	3/8	3/8	4/4	2	1	1/8	1/8	1		4	76		480
158	0.6666666666666666	40	40	1/2	1/2	4/4	1	1	1/6	1/4	2/3		9	87		473
317/2	0.5	40	40	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		481
476/3	0.6666666666666666	40	40	2/3	2/3	4/4	1	2	1/6	1/4	2/3		6	78		477
476/3	0.6666666666666666	40	40	2/3	2/3	4/4	1	1	1/6	1/4	2/3		5	83		474
159	0.5	40	40	3/4	3/4	4/4	2	1	1/8	1/8	1		6	66		482
478/3	0.6666666666666666	40	40	5/6	5/6	4/4	1	1	1/6	1/4	2/3		3	81		475
319/2	0.5	40	40	7/8	7/8	4/4	2	1	1/8	1/8	1		9	75		483
160	1.0	41	41	0	0	4/4	1	1	1/4	1/4	1		6	78		484
321/2	0.5	41	41	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		488
161	0.5	41	41	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		489
161	1.0	41	41	1/4	1/4	4/4	1	1	1/4	1/4	1		7	85		485
323/2	0.5	41	41	3/8	3/8	4/4	2	1	1/8	1/8	1		3	69		490
162	2.0	41	41	1/2	1/2	4/4	1	2	1/2	1/2	1		6	78		487
162	2.0	41	41	1/2	1/2	4/4	1	2	1/2	1/2	1		3	81		487
162	2.0	41	41	1/2	1/2	4/4	1	1	1/2	1/2	1		12	84		486
325/2	0.5	41	41	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		491
163	0.5	41	41	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		492
163	0.5	41	41	3/4	3/4	4/4	2	1	1/8	1/8	1		6	66		492
327/2	0.5	41	41	7/8	7/8	4/4	2	1	1/8	1/8	1		0	72		493
164	1.0	42	42	0	0	4/4	1	1	1/4	1/4	1		7	85		494
329/2	0.5	42	42	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61		501
165	0.5	42	42	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66		502
165	1.0	42	42	1/4	1/4	4/4	1	2	1/4	1/4	1		6	78		499
165	1.0	42	42	1/4	1/4	4/4	1	2	1/4	1/4	1		3	81		499
165	1.0	42	42	1/4	1/4	4/4	1	1	1/4	1/4	1		4	88		495
331/2	0.5	42	42	3/8	3/8	4/4	2	1	1/8	1/8	1		4	76		503
166	0.6666666666666666	42	42	1/2	1/2	4/4	1	1	1/6	1/4	2/3		9	87		496
333/2	0.5	42	42	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		504
500/3	0.6666666666666666	42	42	2/3	2/3	4/4	1	2	1/6	1/4	2/3		6	78		500
500/3	0.6666666666666666	42	42	2/3	2/3	4/4	1	1	1/6	1/4	2/3		5	83		497
167	0.5	42	42	3/4	3/4	4/4	2	1	1/8	1/8	1		6	66		505
502/3	0.6666666666666666	42	42	5/6	5/6	4/4	1	1	1/6	1/4	2/3		9	87		498
335/2	0.5	42	42	7/8	7/8	4/4	2	1	1/8	1/8	1		9	75		506
168	1.0	43	43	0	0	4/4	1	1	1/4	1/4	1		7	73		507
337/2	0.5	43	43	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		514
169	0.5	43	43	1/4	1/4	4/4	2	1	1/8	1/8	1		6	54		515
169	1.0	43	43	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66		512
169	1.0	43	43	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69		512
169	1.0	43	43	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76		508
339/2	0.5	43	43	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64		516
170	0.6666666666666666	43	43	1/2	1/2	4/4	1	1	1/6	1/4	2/3		9	75		509
341/2	0.5	43	43	5/8	5/8	4/4	2	1	1/8	1/8	1		5	47		517
512/3	0.6666666666666666	43	43	2/3	2/3	4/4	1	2	1/6	1/4	2/3		6	66		513
512/3	0.6666666666666666	43	43	2/3	2/3	4/4	1	2	1/6	1/4	2/3		3	69		513
512/3	0.6666666666666666	43	43	2/3	2/3	4/4	1	1	1/6	1/4	2/3		5	71		510
171	0.5	43	43	3/4	3/4	4/4	2	1	1/8	1/8	1		6	54		518
514/3	0.6666666666666666	43	43	5/6	5/6	4/4	1	1	1/6	1/4	2/3		9	75		511
343/2	0.5	43	43	7/8	7/8	4/4	2	1	1/8	1/8	1		9	63		519
172	2.0	44	44	0	0	4/4	1	1	1/2	1/2	1		9	63		520
172	2.0	44	44	0	0	4/4	1	1	1/2	1/2	1		6	66		520
172	2.0	44	44	0	0	4/4	1	1	1/2	1/2	1		7	73		520
345/2	0.5	44	44	1/8	1/8	4/4	2	1	1/8	1/8	1		3	45		523
173	0.5	44	44	1/4	1/4	4/4	2	1	1/8	1/8	1		6	54		524
347/2	0.5	44	44	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		525
174	1.0	44	44	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64		521
174	1.0	44	44	1/2	1/2	4/4	1	1	1/4	1/4	1		8	68		521
174	1.0	44	44	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71		521
349/2	0.5	44	44	5/8	5/8	4/4	2	1	1/8	1/8	1		8	44		526
175	0.5	44	44	3/4	3/4	4/4	2	1	1/8	1/8	1		4	52		527
175	1.0	44	44	3/4	3/4	4/4	1	1	1/4	1/4	1		5	59		522
175	1.0	44	44	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64		522
175	1.0	44	44	3/4	3/4	4/4	1	1	1/4	1/4	1		8	68		522
351/2	0.5	44	44	7/8	7/8	4/4	2	1	1/8	1/8	1		8	44		528
176	2.0	45	45	0	0	4/4	1	2	1/2	1/2	1		3	57		533
176	2.0	45	45	0	0	4/4	1	2	1/2	1/2	1		7	61		533
176	0.6666666666666666	45	45	0	0	4/4	1	1	1/6	1/4	2/3		4	64		529
353/2	0.5	45	45	1/8	1/8	4/4	2	1	1/8	1/8	1		6	42		536
530/3	0.6666666666666666	45	45	1/6	1/6	4/4	1	1	1/6	1/4	2/3		6	66		530
177	0.5	45	45	1/4	1/4	4/4	2	1	1/8	1/8	1		7	49		537
532/3	0.6666666666666666	45	45	1/3	1/3	4/4	1	1	1/6	1/4	2/3		8	68		531
355/2	0.5	45	45	3/8	3/8	4/4	2	1	1/8	1/8	1		6	42		538
178	2.0	45	45	1/2	1/2	4/4	1	1	1/2	1/2	1		3	57		532
178	1.0	45	45	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64		534
178	2.0	45	45	1/2	1/2	4/4	1	1	1/2	1/2	1		6	66		532
357/2	0.5	45	45	5/8	5/8	4/4	2	1	1/8	1/8	1		5	35		539
179	0.5	45	45	3/4	3/4	4/4	2	1	1/8	1/8	1		5	47		540
179	1.0	45	45	3/4	3/4	4/4	1	2	1/4	1/4	1		9	63		535
359/2	0.5	45	45	7/8	7/8	4/4	2	1	1/8	1/8	1		5	35		541
180	0.5	46	46	0	0	4/4	2	1	1/8	1/8	1		4	40		545
180	1.0	46	46	0	0	4/4	1	2	1/4	1/4	1		7	61		543
180	4.0	46	46	0	0	4/4	1	1	1	1	1		4	64		542
180	4.0	46	46	0	0	4/4	1	1	1	1	1		8	68		542
361/2	0.5	46	46	1/8	1/8	4/4	2	1	1/8	1/8	1		5	47		546
181	0.5	46	46	1/4	1/4	4/4	2	1	1/8	1/8	1		4	52		547
181	1.0	46	46	1/4	1/4	4/4	1	2	1/4	1/4	1		5	59		544
363/2	0.5	46	46	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		548
182	0.5	46	46	1/2	1/2	4/4	2	1	1/8	1/8	1		5	59		549
365/2	0.5	46	46	5/8	5/8	4/4	2	1	1/8	1/8	1		4	64		550
183	0.5	46	46	3/4	3/4	4/4	2	1	1/8	1/8	1		8	68		551
367/2	0.5	46	46	7/8	7/8	4/4	2	1	1/8	1/8	1		5	71		552
184	2.0	47	47	0	0	4/4	1	2	1/2	1/2	1		13	67		558
184	2.0	47	47	0	0	4/4	1	2	1/2	1/2	1		10	70		558
184	1.0	47	47	0	0	4/4	1	1	1/4	1/4	1		7	73		553
369/2	0.5	47	47	1/8	1/8	4/4	2	1	1/8	1/8	1		13	55		560
185	0.5	47	47	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		561
185	1.0	47	47	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76		554
371/2	0.5	47	47	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64		562
186	2.0	47	47	1/2	1/2	4/4	1	2	1/2	1/2	1		8	68		559
186	2.0	47	47	1/2	1/2	4/4	1	2	1/2	1/2	1		5	71		559
186	0.6666666666666666	47	47	1/2	1/2	4/4	1	1	1/6	1/4	2/3		9	75		555
373/2	0.5	47	47	5/8	5/8	4/4	2	1	1/8	1/8	1		8	56		563
560/3	0.6666666666666666	47	47	2/3	2/3	4/4	1	1	1/6	1/4	2/3		5	71		556
187	0.5	47	47	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		564
562/3	0.6666666666666666	47	47	5/6	5/6	4/4	1	1	1/6	1/4	2/3		9	75		557
375/2	0.5	47	47	7/8	7/8	4/4	2	1	1/8	1/8	1		9	63		565
188	2.0	48	48	0	0	4/4	1	1	1/2	1/2	1		4	64		566
188	2.0	48	48	0	0	4/4	1	1	1/2	1/2	1		8	68		566
188	2.0	48	48	0	0	4/4	1	1	1/2	1/2	1		7	73		566
377/2	0.5	48	48	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		569
189	0.5	48	48	1/4	1/4	4/4	2	1	1/8	1/8	1		8	56		570
379/2	0.5	48	48	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		571
190	1.0	48	48	1/2	1/2	4/4	1	1	1/4	1/4	1		9	63		567
190	1.0	48	48	1/2	1/2	4/4	1	1	1/4	1/4	1		8	68		567
190	1.0	48	48	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71		567
381/2	0.5	48	48	5/8	5/8	4/4	2	1	1/8	1/8	1		8	44		572
191	0.5	48	48	3/4	3/4	4/4	2	1	1/8	1/8	1		9	51		573
191	1.0	48	48	3/4	3/4	4/4	1	1	1/4	1/4	1		5	59		568
191	1.0	48	48	3/4	3/4	4/4	1	1	1/4	1/4	1		9	63		568
191	1.0	48	48	3/4	3/4	4/4	1	1	1/4	1/4	1		8	68		568
383/2	0.5	48	48	7/8	7/8	4/4	2	1	1/8	1/8	1		8	56		574
192	2.0	49	49	0	0	4/4	1	2	1/2	1/2	1		10	58		579
192	2.0	49	49	0	0	4/4	1	2	1/2	1/2	1		7	61		579
192	0.6666666666666666	49	49	0	0	4/4	1	1	1/6	1/4	2/3		4	64		575
385/2	0.5	49	49	1/8	1/8	4/4	2	1	1/8	1/8	1		6	42		582
578/3	0.6666666666666666	49	49	1/6	1/6	4/4	1	1	1/6	1/4	2/3		6	66		576
193	0.5	49	49	1/4	1/4	4/4	2	1	1/8	1/8	1		7	49		583
580/3	0.6666666666666666	49	49	1/3	1/3	4/4	1	1	1/6	1/4	2/3		8	68		577
387/2	0.5	49	49	3/8	3/8	4/4	2	1	1/8	1/8	1		6	42		584
194	1.0	49	49	1/2	1/2	4/4	1	2	1/4	1/4	1		9	63		580
